Pitcher,TaggedPitchType,RelSpeed,InducedVertBreak,HorzBreak,RelHeight,RelSide,Extension,SpinAxis,SpinRate,VertApprAngle,HorzApprAngle,PitcherThrows,BatterSide
"Herberholz, Christian",FourSeamFastBall,91.70860042857143,18.815880571428572,15.051852857142856,5.968085857142857,1.4096822857142859,5.202157,220.56807332857144,2243.812626,-4.731487471,-0.062460186,Right,Right
"Herberholz, Christian",Sinker,90.96336,20.1969,10.72583,5.96253,1.38033,5.16511,209.391978,2174.96141,-4.234619,-1.37831,Right,Right
"Herberholz, Christian",Slider,80.23697481927711,-0.282058675,-7.877013012,5.780750481927711,1.6191651807228917,4.825151204819277,76.86732301204819,2223.735663746988,-8.223603892,-2.765475289,Right,Right
"Horne, Trevor",ChangeUp,81.14973666666667,14.807322,9.453566666666665,6.477206,0.36763733333333337,5.824944,215.25475319999998,1627.8326885333333,-6.7636854,0.5936412,Right,Right
"Horne, Trevor",Cutter,80.17226,-8.17886,-7.08221,6.40924,0.55114,5.5121,36.292288,2110.75915,-9.148075,0.210273,Right,Right
"Horne, Trevor",Fastball,90.26816415094339,23.40423056603774,3.1053371698113206,6.426232452830189,0.5029464150943396,6.012610188679245,187.89039596226414,2140.321561339623,-5.965013604,0.062195849056603775,Right,Right
"Horne, Trevor",FourSeamFastBall,91.66072938,24.09911313,3.8882681249999997,6.4582275000000005,0.296414375,5.972864375,189.5595136,2209.721736,-5.521795625,0.314595188,Right,Right
"Horne, Trevor",Slider,80.74263292682926,-1.004050244,-5.695945122,6.450614390243903,0.6709985365853659,5.534287317,66.22477502439024,2015.3184016829266,-8.744685878,-0.933510415,Right,Right
"Keplinger, Konner",ChangeUp,81.73154484848486,3.0168975757575756,-15.37454879,5.861922727272727,-2.864780606,5.087280606060606,95.96770954545455,1672.420863,-8.209100061,0.28228963636363635,Left,Right
"Keplinger, Konner",Curveball,75.47537,-8.87595,17.82072,6.10511,-2.58257,4.58743,300.519519,2978.92773,-8.546258,6.512842,Left,Right
